Service File,Line Number,Error Type,Error Message,Root Cause,Fix Strategy,Priority,Status,Notes
"src/services/CustomerService.ts",1,IMPORT,"Module '@prisma/client' has no exported member 'PrismaClient/CustomerContact/CustomerPricingTier/CustomerExternalId'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
"src/services/CustomerService.ts",74,TYPE,"Argument type mismatch in search/customerType/isActive","Type 'unknown' not assignable","Fix after Prisma Client generated",MEDIUM,BLOCKED,"Secondary error from missing Prisma types"
"src/services/CustomerService.ts",98,TYPE,"Argument type mismatch in customerName/customerType/pricingTier/notes","Type 'unknown' not assignable","Fix after Prisma Client generated",MEDIUM,BLOCKED,"Secondary error from missing Prisma types"
"src/services/CustomerService.ts",124,TYPE,"Argument type mismatch in update data","Type 'unknown' not assignable","Fix after Prisma Client generated",MEDIUM,BLOCKED,"Secondary error from missing Prisma types"
"src/services/auth.ts",4,IMPORT,"Module '@prisma/client' has no exported member 'UserRole'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
"src/services/customer.ts",1,IMPORT,"Module '@prisma/client' has no exported member 'PrismaClient/Customer/Prisma'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
"src/services/customer.ts",60,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing: catch (error: unknown) { if (error instanceof Error) {...} }",LOW,PENDING,"Can fix independently"
"src/services/customer.ts",176,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/customer.ts",179,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/customer.ts",200,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/customer.ts",221,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/customer.ts",239,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/customer.ts",242,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/database.ts",1,IMPORT,"Module '@prisma/client' has no exported member 'PrismaClient'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
"src/services/material.ts",1,IMPORT,"Module '@prisma/client' has no exported member 'PrismaClient/Material/MaterialPricing/Prisma'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation - NOTE: MaterialPricing model doesn't exist in schema!"
"src/services/material.ts",75,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/material.ts",219,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/material.ts",222,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/material.ts",243,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/material.ts",264,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/material.ts",282,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/material.ts",285,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/material.ts",503,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/material.ts",521,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/plan.ts",1,IMPORT,"Module '@prisma/client' has no exported member 'PrismaClient/Plan/PlanTemplateItem/Prisma'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
"src/services/plan.ts",95,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/plan.ts",255,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/plan.ts",258,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/plan.ts",279,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/plan.ts",300,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/plan.ts",318,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/plan.ts",321,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/plan.ts",422,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/plan.ts",485,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/plan.ts",503,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/services/plan.ts",539,TYPE,"'error' is of type 'unknown'","Strict TypeScript - error not typed","Add proper error typing",LOW,PENDING,"Can fix independently"
"src/validators/customer.ts",2,IMPORT,"Module '@prisma/client' has no exported member 'CustomerType'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"

KNOWN SCHEMA/CODE SYNC ISSUES (From Strategic Analysis):
"backend/src/services/customer.ts",N/A,SCHEMA_MISMATCH,"Code expects 'name' field, schema has 'customerName'","Field name mismatch between code expectations and schema","Update all references from 'name' to 'customerName' after Prisma Client works",HIGH,PENDING,"13 errors expected once Prisma Client generated"
"backend/src/services/material.ts",N/A,SCHEMA_MISMATCH,"Code expects 'MaterialPricing' model, schema has 'PricingHistory'","Model name mismatch","Rename all MaterialPricing references to PricingHistory",CRITICAL,PENDING,"22 errors expected - most complex service"
"backend/src/services/plan.ts",N/A,SCHEMA_MISMATCH,"PlanType enum mismatch: code expects PRODUCTION/SEMI_CUSTOM/FULL_CUSTOM, schema has SINGLE_STORY/TWO_STORY/THREE_STORY/DUPLEX/TOWNHOME","Enum values completely different","Update PlanType enum usage throughout code to match schema",HIGH,PENDING,"14 errors expected"
"backend/src/services/plan.ts",N/A,SCHEMA_MISMATCH,"Code may expect customerId field on Plan model","Potential missing relation field","Verify if customerId is in schema, add if needed",MEDIUM,PENDING,"Part of 14 errors"

SUMMARY:
"Total Current Errors",63,N/A,"63 TypeScript compilation errors","Prisma Client not generated + error handling + schema mismatches","1. Generate Prisma Client (environment fix needed), 2. Fix error typing (24 errors), 3. Fix schema sync issues (~49 errors)",N/A,N/A,"Once Prisma Client generated, expect 49+ additional errors to appear"
"Critical Path","1. Prisma Client Generation","BLOCKER","Must resolve network restrictions OR copy pre-generated client from Windows environment",N/A,N/A,N/A,N/A,"Without this, cannot proceed with repairs"
"Estimated Total Errors","~112","ANALYSIS","63 current + 49 hidden schema/code sync errors = 112 total",N/A,N/A,N/A,N/A,"Iceberg ratio: 49 hidden / 63 visible = 0.78 (less than expected 8:1 ratio from Windows build)"
